Index,X(m),Y(m),Z(m)
1,-3022139.07324098,4931682.74540613,2679074.46295779
2,-3085940.29029342,4892013.06254287,2679074.46295779
3,-3149220.86761557,4851518.03112397,2679074.46295779
4,-3211970.12892093,4810204.48320714,2679074.46295779
5,-3274177.48756314,4768079.38894489,2679074.46295779
6,-3034570.77643527,4880535.83477704,2757019.00749825
7,-3097706.6128372,4840708.99481909,2757019.00749825
8,-3160319.8243716,4800065.46199337,2757019.00749825
9,-3222399.84734557,4758612.0934118,2757019.00749825
10,-3283936.20802228,4716355.88281652,2757019.00749825
11,-2982927.40260654,4867695.11452618,2834461.79832804
12,-3045900.81119335,4828540.13813438,2834461.79832804
13,-3108360.3352498,4788570.52192498,2834461.79832804
14,-3170295.43701212,4747793.00931109,2834461.79832804
15,-3231695.66719366,4706214.48000883,2834461.79832804
16,-2993828.34946619,4815009.31077486,2911388.59147346
17,-3056116.51830877,4775717.1896414,2911388.59147346
18,-3117889.07909347,4735619.34063389,2911388.59147346
19,-3179135.60995649,4694722.52880004,2911388.59147346
20,-3239845.77778237,4653033.65398336,2911388.59147346
