Time,X(m),Y(m),Z(m)
0,-3172396.8586023,5328654.90424556,2988493.28294507
1,-3172501.68496375,5328649.9010576,2988391.27328784
2,-3172606.52483645,5328644.88632562,2988289.26270313
3,-3172711.36381672,5328639.86922935,2988187.25011653
4,-3172816.20122433,5328634.84987144,2988085.23606532
5,-3172921.03710254,5328629.82822611,2987983.22054954
6,-3173025.87204484,5328624.80424221,2987881.20303199
7,-3173130.70482082,5328619.77804779,2987779.18458723
8,-3173235.53615387,5328614.74951436,2987677.16467805
9,-3173340.36532054,5328609.71877046,2987575.1438418
10,-3173445.17791717,5328604.69499873,2987473.12100396
11,-3173550.00461808,5328599.6596291,2987371.09670186
12,-3173654.82919581,5328594.62202324,2987269.07147285
13,-3173759.65347408,5328589.5820014,2987167.04370558
14,-3173864.47558574,5328584.53976944,2987065.01501098
15,-3173969.29616756,5328579.49525002,2986962.98485232
16,-3174074.11521949,5328574.44844316,2986860.95322965
17,-3174178.9327848,5328569.39932305,2986758.92014301
18,-3174283.74818343,5328564.34799226,2986656.88613034
19,-3174388.56205202,5328559.29437436,2986554.8506533
20,-3174493.35930689,5328554.24775735,2986452.81317509
21,-3174598.17075208,5328549.18948774,2986350.77423311
22,-3174702.9806238,5328544.12895647,2986248.73382742
23,-3174807.78900863,5328539.06611193,2986146.69195807
24,-3174912.59577662,5328534.00103153,2986044.6486251
25,-3175017.40105762,5328528.93363786,2985942.60382857
26,-3175122.20480829,5328523.86395672,2985840.55756852
27,-3175227.0070719,5328518.7919623,2985738.50984502
28,-3175331.80776179,5328513.71770621,2985636.46065809
29,-3175436.60632787,5328508.64121408,2985534.41054525
30,-3175541.38891649,5328503.57164852,2985432.35789421
31,-3175646.1850149,5328498.49052999,2985330.30431787
32,-3175750.97958269,5328493.40712429,2985228.24927779
33,-3175855.77206982,5328488.32145678,2985126.19331202
34,-3175960.56357629,5328483.23347612,2985024.13534568
35,-3176065.35355204,5328478.14320797,2984922.07591627
36,-3176170.1419537,5328473.05067814,2984820.01502384
37,-3176274.92891116,5328467.95580919,2984717.95266845
38,-3176379.71488773,5328462.85862702,2984615.88831264
39,-3176484.49814684,5328457.75926044,2984513.82356898
40,-3176589.26483479,5328452.66687481,2984411.756825
41,-3176694.04562525,5328447.56288199,2984309.68861825
42,-3176798.82488467,5328442.45660167,2984207.6189488
43,-3176903.60206309,5328437.34805964,2984105.54835422
44,-3177008.37826031,5328432.23720432,2984003.47575949
45,-3177113.15351957,5328427.12400985,2983901.40116464
46,-3177217.92665439,5328422.00857949,2983799.32564482
47,-3177322.69830126,5328416.8908358,2983697.24866254
48,-3177427.46833024,5328411.77085593,2983595.17021837
49,-3177532.22068792,5328406.65791165,2983493.09084891
50,-3177636.98769746,5328401.53333155,2983391.00947955
51,-3177741.75317556,5328396.40646393,2983288.92664792
